,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
6155,2125,1 AVENUE,2125 1 AVENUE,10029,Manhattan,Indoor Air Quality,Dust from Construction,2010-07-17,40.791784,-73.938497,East Harlem North,east harlem
6162,241,BEDFORD AVENUE,241 BEDFORD AVENUE,11211,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-05,40.715821000000005,-73.959872,North Side-South Side,greenpoint
6178,237,EAST 28 STREET,237 EAST 28 STREET,10016,Manhattan,Indoor Air Quality,Dust from Construction,2010-07-02,40.741312,-73.979272,Murray Hill-Kips Bay,gramercy park - murray hill
6182,529,EAST 6 STREET,529 EAST 6 STREET,10009,Manhattan,Indoor Air Quality,Dust from Construction,2012-12-11,40.725137,-73.983141,East Village,union square - lower east side
6183,555,8 AVENUE,555 8 AVENUE,10018,Manhattan,Indoor Air Quality,Dust from Construction,2013-08-23,40.754477,-73.991814,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
6185,407,EAST 81 STREET,407 EAST 81 STREET,10028,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-06,40.773502,-73.95133100000001,Yorkville,upper east side
6196,2756,CRESTON AVENUE,2756 CRESTON AVENUE,10468,Bronx,Indoor Air Quality,Dust from Construction,2014-09-08,40.869417999999996,-73.893194,Van Cortlandt Village,fordham - bronx pk
6198,465,VILLA AVENUE,465 VILLA AVENUE,10302,Staten Island,Indoor Air Quality,Dust from Construction,2014-09-08,40.629048,-74.14319,Port Richmond,port richmond
6213,43-60,DOUGLASTON PARKWAY,43-60 DOUGLASTON PARKWAY,11363,Queens,Indoor Air Quality,Dust from Construction,2014-09-08,40.766788,-73.746057,Douglas Manor-Douglaston-Little Neck,bayside - littleneck
6230,425,HENRY STREET,425 HENRY STREET,11201,Brooklyn,Indoor Air Quality,Dust from Construction,2012-04-27,40.686951,-73.99806,Carroll Gardens-Columbia Street-Red Hook,downtown - heights - slope
6235,525,WEST 50 STREET,525 WEST 50 STREET,10019,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-08,40.765184000000005,-73.992953,Clinton,chelsea - clinton
6238,683,DEAN STREET,683 DEAN STREET,11238,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-09,40.680062,-73.967314,Prospect Heights,bedford stuyvesant - crown heights
6239,683,VANDERBILT AVENUE,683 VANDERBILT AVENUE,11238,Brooklyn,Indoor Air Quality,Dust from Construction,2014-09-09,40.676396000000004,-73.969309,Prospect Heights,bedford stuyvesant - crown heights
6247,130,WEST 73 STREET,130 WEST 73 STREET,10023,Manhattan,Indoor Air Quality,Dust from Construction,2010-12-18,40.778525,-73.979332,Lincoln Square,upper west side
6255,132-15A,14 AVENUE,132-15A 14 AVENUE,11356,Queens,Indoor Air Quality,Dust from Construction,2014-09-09,40.786274,-73.835892,Whitestone,flushing - clearview
6256,177,WEST 26 STREET,177 WEST 26 STREET,10001,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-09,40.745645,-73.993392,Midtown-Midtown South,chelsea - clinton
6273,605,WEST 170 STREET,605 WEST 170 STREET,10032,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-10,40.842595,-73.939603,Washington Heights South,washington heights
6278,2505,OLINVILLE AVENUE,2505 OLINVILLE AVENUE,10467,Bronx,Indoor Air Quality,Dust from Construction,2014-09-10,40.863587,-73.86843499999999,Bronxdale,fordham - bronx pk
6286,32-79,46 STREET,32-79 46 STREET,11103,Queens,Indoor Air Quality,Dust from Construction,2014-09-11,40.75626,-73.914574,Astoria,long island city - astoria
6308,245,EAST 94 STREET,245 EAST 94 STREET,10128,Manhattan,Indoor Air Quality,Dust from Construction,2014-09-13,40.783459,-73.949237,Yorkville,upper east side
