,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
42000,224-02,BRADDOCK AVENUE,224-02 BRADDOCK AVENUE,11428,Queens,Mold,Public Complaint - Comm Location,2020-03-23,40.72768,-73.732546,Queens Village,southeast queens
42010,1,WALL STREET,1 WALL STREET,10005,Manhattan,Mold,Public Complaint - Comm Location,2020-03-24,40.707712,-74.011643,Battery Park City-Lower Manhattan,lower manhattan
42022,509,MADISON AVENUE,509 MADISON AVENUE,10022,Manhattan,Mold,Workplace - 10 or Less Staff,2011-09-30,40.759555,-73.974346,Midtown-Midtown South,gramercy park - murray hill
42061,34-50,LINDEN PLACE,34-50 LINDEN PLACE,11354,Queens,Mold,Public Complaint - Comm Location,2010-09-13,40.765376,-73.830969,Flushing,flushing - clearview
42067,176,EAST 106 STREET,176 EAST 106 STREET,10029,Manhattan,Mold,Public Complaint - Comm Location,2011-10-17,40.791831,-73.945319,East Harlem South,east harlem
42070,200,PARK AVENUE,200 PARK AVENUE,10017,Manhattan,Mold,Public Complaint - Comm Location,2012-11-08,40.754162,-73.976557,Turtle Bay-East Midtown,gramercy park - murray hill
42075,46-09,11 STREET,46-09 11 STREET,11101,Queens,Mold,Public Complaint - Comm Location,2020-03-29,40.746145,-73.950384,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
42090,1516,WEST 9 STREET,1516 WEST 9 STREET,11204,Brooklyn,Mold,Public Complaint - Comm Location,2013-08-30,40.609643,-73.98291800000001,Bensonhurst East,borough park
42091,511,WEST 139 STREET,511 WEST 139 STREET,10031,Manhattan,Mold,Public Complaint - Comm Location,2013-09-10,40.821684999999995,-73.95092,Hamilton Heights,washington heights
42128,59,SUMMIT STREET,59 SUMMIT STREET,11231,Brooklyn,Mold,Workplace - 10 or Less Staff,2012-05-14,40.682584000000006,-74.004648,Carroll Gardens-Columbia Street-Red Hook,downtown - heights - slope
42135,756,ST. ANNS AVENUE,756 ST. ANNS AVENUE,10456,Bronx,Mold,Public Complaint - Comm Location,2020-04-01,40.819838,-73.910381,Melrose South-Mott Haven North,high bridge - morrisania
42168,3482,BOSTON ROAD,3482 BOSTON ROAD,10469,Bronx,Mold,Public Complaint - Comm Location,2012-02-01,40.876793,-73.847081,Eastchester-Edenwald-Baychester,northeast bronx
42170,416,VAN BRUNT STREET,416 VAN BRUNT STREET,11231,Brooklyn,Mold,Public Complaint - Comm Location,2012-07-03,40.675957000000004,-74.014554,Carroll Gardens-Columbia Street-Red Hook,downtown - heights - slope
42184,107-50,QUEENS BOULEVARD,107-50 QUEENS BOULEVARD,11375,Queens,Mold,Public Complaint - Comm Location,2011-05-25,40.721641,-73.84444599999999,Forest Hills,ridgewood -forest hills
42230,3051,VALENTINE AVENUE,3051 VALENTINE AVENUE,10458,Bronx,Mold,Public Complaint - Comm Location,2012-11-30,40.873853999999994,-73.884957,Bedford Park-Fordham North,fordham - bronx pk
42313,111-29,116 STREET,111-29 116 STREET,11420,Queens,Mold,Public Complaint - Comm Location,2020-04-22,40.679505999999996,-73.823724,South Ozone Park,southwest queens
42323,60,ST NICHOLAS AVENUE,60 ST NICHOLAS AVENUE,10026,Manhattan,Mold,Public Complaint - Comm Location,2011-03-24,40.800887,-73.952507,Central Harlem South,central harlem - morningside heights
42345,329,BLEECKER STREET,329 BLEECKER STREET,10014,Manhattan,Mold,Workplace - 10 or Less Staff,2011-05-10,40.733488,-74.004308,West Village,greenwich village - soho
42395,199,CENTRE STREET,199 CENTRE STREET,11231,Brooklyn,Mold,Public Complaint - Comm Location,2020-04-28,40.673677000000005,-73.99911999999999,Carroll Gardens-Columbia Street-Red Hook,downtown - heights - slope
42475,127,FOREST AVENUE,127 FOREST AVENUE,10301,Staten Island,Mold,Public Complaint - Comm Location,2011-11-02,40.631372,-74.093952,New Brighton-Silver Lake,stapleton - st. george
42546,199,CENTRE STREET,199 CENTRE STREET,10013,Manhattan,Mold,Public Complaint - Comm Location,2013-09-10,40.718828,-73.999315,SoHo-TriBeCa-Civic Center-Little Italy,greenwich village - soho
42593,681,LEXINGTON AVENUE,681 LEXINGTON AVENUE,10022,Manhattan,Mold,Public Complaint - Comm Location,2012-09-12,40.760435,-73.96948,Turtle Bay-East Midtown,gramercy park - murray hill
42596,1201,EAST  233 STREET,1201 EAST  233 STREET,10466,Bronx,Mold,Public Complaint - Comm Location,2020-05-13,40.888774,-73.84288000000001,Woodlawn-Wakefield,northeast bronx
42597,345,WEST   86 STREET,345 WEST   86 STREET,10024,Manhattan,Mold,Public Complaint - Comm Location,2020-05-13,40.789773,-73.979936,Upper West Side,upper west side
42661,38,WESTCHESTER SQUARE,38 WESTCHESTER SQUARE,10461,Bronx,Mold,Public Complaint - Comm Location,2012-02-01,40.841739000000004,-73.84365600000001,Van Nest-Morris Park-Westchester Square,pelham - throgs neck
42670,1061,BELMONT AVENUE,1061 BELMONT AVENUE,11208,Brooklyn,Mold,Public Complaint - Comm Location,2020-05-18,40.674383,-73.869951,East New York,east new york
42706,311,WEST 34 STREET,311 WEST 34 STREET,10001,Manhattan,Mold,Public Complaint - Comm Location,2011-11-02,40.752463,-73.994088,Hudson Yards-Chelsea-Flatiron-Union Square,chelsea - clinton
42735,250,WEST 43 STREET,250 WEST 43 STREET,10036,Manhattan,Mold,Public Complaint - Comm Location,2012-07-03,40.757301,-73.987883,Midtown-Midtown South,chelsea - clinton
42768,150,EAST 56 STREET,150 EAST 56 STREET,10022,Manhattan,Mold,Public Complaint - Comm Location,2011-12-20,40.760048,-73.969166,Turtle Bay-East Midtown,gramercy park - murray hill
42848,423,WEST 46 STREET,423 WEST 46 STREET,10036,Manhattan,Mold,Public Complaint - Comm Location,2011-08-08,40.761355,-73.991607,Clinton,chelsea - clinton
42884,519,WEST  158 STREET,519 WEST  158 STREET,10032,Manhattan,Mold,Public Complaint - Comm Location,2020-05-31,40.833816,-73.942336,Washington Heights South,washington heights
42903,2827,MERMAID AVENUE,2827 MERMAID AVENUE,11224,Brooklyn,Mold,Public Complaint - Comm Location,2020-06-01,40.575542,-73.994676,Seagate-Coney Island,coney island - sheepshead bay
42956,25-03,44 STREET,25-03 44 STREET,11103,Queens,Mold,Public Complaint - Comm Location,2020-06-05,40.766076,-73.908785,Astoria,long island city - astoria
42976,191,TERRACE STREET,191 TERRACE STREET,10464,Bronx,Mold,Public Complaint - Comm Location,2020-06-06,40.857693,-73.789795,Pelham Bay-Country Club-City Island,pelham - throgs neck
42985,43,CLINTON STREET,43 CLINTON STREET,10002,Manhattan,Mold,Workplace - 10 or Less Staff,2011-05-10,40.719865000000006,-73.984679,Chinatown,lower east side
42990,645,WEST 44 STREET,645 WEST 44 STREET,10036,Manhattan,Mold,Public Complaint - Comm Location,2012-02-15,40.762574,-73.998386,Clinton,chelsea - clinton
42997,1885,HYLAN BOULEVARD,1885 HYLAN BOULEVARD,10305,Staten Island,Mold,Public Complaint - Comm Location,2020-06-07,40.583358000000004,-74.095789,Old Town-Dongan Hills-South Beach,stapleton - st. george
43003,147-13,45 AVENUE,147-13 45 AVENUE,11355,Queens,Mold,Public Complaint - Comm Location,2011-05-10,40.755536,-73.814986,East Flushing,flushing - clearview
43052,1745,FOREST AVENUE,1745 FOREST AVENUE,10303,Staten Island,Mold,Public Complaint - Comm Location,2020-06-09,40.624962,-74.147129,Mariner's Harbor-Arlington-Port Ivory-Graniteville,port richmond
43098,3501,AMBOY ROAD,3501 AMBOY ROAD,10306,Staten Island,Mold,Public Complaint - Comm Location,2020-06-11,40.556527,-74.139335,Great Kills,south beach - tottenville
43134,829,CASTLETON AVENUE,829 CASTLETON AVENUE,10310,Staten Island,Mold,Public Complaint - Comm Location,2013-07-24,40.634741999999996,-74.109972,New Brighton-Silver Lake,port richmond
43172,250,VICTORY BOULEVARD,250 VICTORY BOULEVARD,10301,Staten Island,Mold,Public Complaint - Comm Location,2020-06-15,40.635609,-74.084014,Stapleton-Rosebank,stapleton - st. george
43225,51-07,27 STREET,51-07 27 STREET,11101,Queens,Mold,Public Complaint - Comm Location,2011-11-02,40.73968,-73.94279300000001,Hunters Point-Sunnyside-West Maspeth,long island city - astoria
