,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
7319,501,NEW YORK AVENUE,501 NEW YORK AVENUE,11225,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-20,40.662898,-73.947941,Prospect Lefferts Gardens-Wingate,east flatbush - flatbush
7323,166,WEST 129 STREET,166 WEST 129 STREET,10027,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-07-25,40.81111,-73.94553499999999,Central Harlem North-Polo Grounds,central harlem - morningside heights
7324,464,NEPTUNE AVENUE,464 NEPTUNE AVENUE,11224,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-20,40.579771,-73.97104200000001,West Brighton,coney island - sheepshead bay
7325,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.823974,-73.95055,Hamilton Heights,washington heights
7327,9480,RIDGE BOULEVARD,9480 RIDGE BOULEVARD,11209,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.617482,-74.037943,Bay Ridge,bensonhurst - bay ridge
7328,356,SUMPTER STREET,356 SUMPTER STREET,11233,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.681132,-73.909965,Ocean Hill,bedford stuyvesant - crown heights
7329,93-23,218 STREET,93-23 218 STREET,11428,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.720978,-73.739052,Queens Village,southeast queens
7330,240,WEST 37 STREET,240 WEST 37 STREET,10018,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.753409000000005,-73.990486,Midtown-Midtown South,chelsea - clinton
7331,20,BILLINGS STREET,20 BILLINGS STREET,10312,Staten Island,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.562019,-74.181012,Arden Heights,south beach - tottenville
7333,88-11,69 ROAD,88-11 69 ROAD,11375,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.70966,-73.855028,Forest Hills,ridgewood -forest hills
7336,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-21,40.86381,-73.92730300000001,Washington Heights North,washington heights
7342,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-22,40.86381,-73.92730300000001,Washington Heights North,washington heights
7343,628,WEST 151 STREET,628 WEST 151 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-22,40.8305,-73.948374,Hamilton Heights,washington heights
7345,4131,BRUNER AVENUE,4131 BRUNER AVENUE,10466,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-23,40.892967999999996,-73.847511,Woodlawn-Wakefield,northeast bronx
7346,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-23,40.86381,-73.92730300000001,Washington Heights North,washington heights
7350,300,EAST 138 STREET,300 EAST 138 STREET,10454,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-09-02,40.810592,-73.926364,Mott Haven-Port Morris,hunts point - mott haven
7352,90-27,PARSONS BOULEVARD,90-27 PARSONS BOULEVARD,11432,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2013-03-19,40.704136,-73.80067,Jamaica,jamaica
7353,718,ST MARKS AVENUE,718 ST MARKS AVENUE,11216,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-23,40.675156,-73.949262,Crown Heights North,bedford stuyvesant - crown heights
7354,118,EAST 102 STREET,118 EAST 102 STREET,10029,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-23,40.790048999999996,-73.949026,East Harlem South,east harlem
7355,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-23,40.86381,-73.92730300000001,Washington Heights North,washington heights
7361,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-24,40.823974,-73.95055,Hamilton Heights,washington heights
7362,161-25,NORMAL ROAD,161-25 NORMAL ROAD,11432,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-24,40.711389000000004,-73.803162,Briarwood-Jamaica Hills,jamaica
7363,2016,ALBEMARLE ROAD,2016 ALBEMARLE ROAD,11226,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-24,40.647301,-73.959867,Flatbush,east flatbush - flatbush
7366,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-24,40.86381,-73.92730300000001,Washington Heights North,washington heights
7367,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-24,40.823974,-73.95055,Hamilton Heights,washington heights
7370,541,WEST 142 STREET,541 WEST 142 STREET,10031,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-25,40.823974,-73.95055,Hamilton Heights,washington heights
7373,100,WEST 94 STREET,100 WEST 94 STREET,10025,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-05-13,40.791582,-73.968548,Upper West Side,upper west side
7379,122-08,13 AVENUE,122-08 13 AVENUE,11356,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-25,40.786808,-73.84526600000001,College Point,flushing - clearview
7380,102,WEST 85 STREET,102 WEST 85 STREET,10024,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-25,40.785995,-73.97314399999999,Upper West Side,upper west side
7383,109-25,MERRICK BOULEVARD,109-25 MERRICK BOULEVARD,11433,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-25,40.696782,-73.783742,South Jamaica,jamaica
7384,373,SOUTH 4 STREET,373 SOUTH 4 STREET,11211,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-25,40.708216,-73.95281800000001,North Side-South Side,greenpoint
7385,1072,INTERVALE AVENUE,1072 INTERVALE AVENUE,10459,Bronx,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-25,40.825171000000005,-73.896835,Longwood,hunts point - mott haven
7386,378,THROOP AVENUE,378 THROOP AVENUE,11221,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-26,40.691284,-73.942607,Bedford,williamsburg - bushwick
7387,68,THAYER STREET,68 THAYER STREET,10040,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-26,40.86381,-73.92730300000001,Washington Heights North,washington heights
7390,203,EAST 22 STREET,203 EAST 22 STREET,10010,Manhattan,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-26,40.738019,-73.98326,Gramercy,gramercy park - murray hill
7395,613,MARCY AVENUE,613 MARCY AVENUE,11206,Brooklyn,Indoor Air Quality,Chemical Vapors/Gases/Odors,2011-01-21,40.693796,-73.948883,Bedford,williamsburg - bushwick
7400,32-06,21 STREET,32-06 21 STREET,11106,Queens,Indoor Air Quality,Chemical Vapors/Gases/Odors,2014-11-26,40.765118,-73.93180799999999,Astoria,long island city - astoria
