,Incident_Address_Street_Number,Incident_Address_Street_Name,Incident_Address,Incident_Address_Zip,Incident_Address_Borough,Complaint_Type_311,Descriptor_1_311,Date_Received,Latitude,Longitude,NTA,UHF_42
56932,2,STODDARD PLACE,2 STODDARD PLACE,11225,Brooklyn,Indoor Sewage,Sewage Leak,2018-07-28,40.665478,-73.955938,Crown Heights South,east flatbush - flatbush
56940,504,MYRTLE AVENUE,504 MYRTLE AVENUE,11205,Brooklyn,Indoor Sewage,Sewage Leak,2019-02-20,40.693525,-73.964844,Clinton Hill,downtown - heights - slope
56947,140,EAST 46 STREET,140 EAST 46 STREET,10017,Manhattan,Indoor Sewage,Sewage Leak,2019-01-02,40.753783,-73.973713,Turtle Bay-East Midtown,gramercy park - murray hill
57015,1133,FTELEY AVENUE,1133 FTELEY AVENUE,10472,Bronx,Indoor Sewage,Sewage Leak,2018-07-27,40.827857,-73.871237,Soundview-Bruckner,pelham - throgs neck
57016,1850,2 AVENUE,1850 2 AVENUE,10128,Manhattan,Indoor Sewage,Sewage Leak,2018-07-31,40.78396,-73.947283,Yorkville,upper east side
57078,50,PALADINO AVENUE,50 PALADINO AVENUE,10035,Manhattan,Indoor Sewage,Sewage Leak,2018-11-14,40.799168,-73.93001,East Harlem North,east harlem
57099,165,PULASKI STREET,165 PULASKI STREET,11206,Brooklyn,Indoor Sewage,Sewage Leak,2018-11-19,40.692921000000005,-73.944513,Bedford,williamsburg - bushwick
57105,62-60,99 STREET,62-60 99 STREET,11374,Queens,Indoor Sewage,Sewage Leak,2018-09-18,40.733469,-73.85755999999999,Rego Park,ridgewood -forest hills
57106,3615,OXFORD AVENUE,3615 OXFORD AVENUE,10463,Bronx,Indoor Sewage,Sewage Leak,2018-10-05,40.88697,-73.908576,Spuyten Duyvil-Kingsbridge,kingsbridge - riverdale
57114,205-15,112 AVENUE,205-15 112 AVENUE,11412,Queens,Indoor Sewage,Sewage Leak,2018-12-18,40.704042,-73.75079699999999,Queens Village,jamaica
57122,825,HERKIMER STREET,825 HERKIMER STREET,11233,Brooklyn,Indoor Sewage,Sewage Leak,2019-02-04,40.678371999999996,-73.9262,Crown Heights North,bedford stuyvesant - crown heights
57219,168,71 STREET,168 71 STREET,11209,Brooklyn,Indoor Sewage,Sewage Leak,2018-12-14,40.635095,-74.030485,Bay Ridge,bensonhurst - bay ridge
57223,244,96 STREET,244 96 STREET,11209,Brooklyn,Indoor Sewage,Sewage Leak,2018-08-27,40.616833,-74.034971,Bay Ridge,bensonhurst - bay ridge
57232,46-21,66 STREET,46-21 66 STREET,11377,Queens,Indoor Sewage,Sewage Leak,2018-10-15,40.739466,-73.898826,Elmhurst-Maspeth,west queens
57264,1256,54 STREET,1256 54 STREET,11219,Brooklyn,Indoor Sewage,Sewage Leak,2018-10-12,40.632909000000005,-73.99616999999999,Borough Park,borough park
57265,1215,ELDER AVENUE,1215 ELDER AVENUE,10472,Bronx,Indoor Sewage,Sewage Leak,2018-10-17,40.829219,-73.87933199999999,West Farms-Bronx River,pelham - throgs neck
57266,177-34,137 AVENUE,177-34 137 AVENUE,11434,Queens,Indoor Sewage,Sewage Leak,2018-10-20,40.674411,-73.761957,Springfield Gardens North,jamaica
57300,1760,ZEREGA AVENUE,1760 ZEREGA AVENUE,10462,Bronx,Indoor Sewage,Sewage Leak,2018-12-21,40.840801,-73.852487,Westchester-Unionport,pelham - throgs neck
57318,5,WEST 103 STREET,5 WEST 103 STREET,10025,Manhattan,Indoor Sewage,Sewage Leak,2018-09-17,40.796295,-73.961857,Upper West Side,upper west side
57325,920,EAST 84 STREET,920 EAST 84 STREET,11236,Brooklyn,Indoor Sewage,Sewage Leak,2018-11-05,40.636903000000004,-73.909837,Canarsie,canarsie - flatlands
